product_id,price,size,time,side,best_bid,best_ask,short_window,long_window,MACD,MACD_Signal,high,low,AO,open,RVI,RVI_Signal
BTC-USD,65452.12,2.811e-05,2024-06-20 13:47:32.597560+00:00,BUY,65452.31,65454.18,65445.723076923074,65445.119999999995,0.6030769230783335,0.1206153846156667,,,,65444.56,,
BTC-USD,65455.82,0.00027411,2024-06-20 13:47:33.365712+00:00,SELL,65450.75,65455.8,65447.27644970414,65445.91259259259,1.3638571115516243,0.3692637300028582,,,,65452.12,,
BTC-USD,65459.01,0.00348894,2024-06-20 13:47:35.164947+00:00,SELL,65452.47,65456.61,65449.08161128812,65446.88277091907,2.198840369055688,0.7351790578134242,,,,65455.82,,
BTC-USD,65459.12,1.558e-05,2024-06-20 13:47:37.443879+00:00,BUY,65459.51,65463.2,65450.62597878226,65447.78923233247,2.8367464497860055,1.1554925362079405,,,,65459.01,,
BTC-USD,65460.91,0.00452552,2024-06-20 13:47:38.058135+00:00,BUY,65460.85,65464.38,65452.20813589268,65448.761141048584,3.44699484409648,1.6137929977856484,,,,65459.12,,
BTC-USD,65462.98,0.00153604,2024-06-20 13:47:39.908662+00:00,BUY,65462.65,65465.11,65453.865345755345,65449.8143898598,4.050955895545485,2.101225577337616,,,,65460.91,,
BTC-USD,65466.69,0.00187955,2024-06-20 13:47:41.466656+00:00,SELL,65463.52,65467.04,65455.83836948529,65451.06443505537,4.7739344299188815,2.6357673478538692,,,,65462.98,,
BTC-USD,65466.69,0.00073047,2024-06-20 13:47:41.729285+00:00,SELL,65461.26,65465.7,65457.507851102935,65452.22188431053,5.285966792405816,3.165807236764259,,,,65466.69,,
BTC-USD,65466.69,1.103e-05,2024-06-20 13:47:43.771655+00:00,SELL,65462.28,65466.67,65458.92048939479,65453.293596583826,5.626892810963909,3.658024351604189,,,,65466.69,,
BTC-USD,65466.66,0.00145596,2024-06-20 13:47:44.638136+00:00,SELL,65461.25,65465.39,65460.111183334055,65454.28370054058,5.827482793472882,4.091916039977928,,,,65466.69,,
BTC-USD,65459.14,0.00165596,2024-06-20 13:47:46.605056+00:00,BUY,65454.66,65459.14,65459.96177051343,65454.64342642646,5.318344086968864,4.337201649376115,,,,65466.66,,
BTC-USD,65459.14,0.00165596,2024-06-20 13:47:46.605056+00:00,BUY,65458.14,65462.02,65459.8353442806,65454.97650595043,4.85883833016851,4.441528985534594,,,,65459.14,,
BTC-USD,65466.35,1.558e-05,2024-06-20 13:47:49.426627+00:00,BUY,65465.97,65468.63,65460.837599006656,65455.81898699114,5.018612015519466,4.556945591531568,,,,65459.14,,
BTC-USD,65469.88,0.011,2024-06-20 13:47:49.991320+00:00,SELL,65466.23,65469.87,65462.228737621015,65456.86054351031,5.368194110706099,4.719195295366474,,,,65466.35,,
BTC-USD,65469.88,0.011,2024-06-20 13:47:49.991320+00:00,SELL,65463.1,65468.54,65463.40585491009,65457.82494769473,5.580907215357001,4.89153767936458,,,,65469.88,,
BTC-USD,65468.54,0.00035555,2024-06-20 13:47:52.313241+00:00,SELL,65465.9,65469.75,65464.19572338546,65458.6186552729,5.57706811256503,5.02864376600467,,,,65469.88,,
BTC-USD,65461.12,0.15276242,2024-06-20 13:47:53.480779+00:00,BUY,65463.6,65467.01,65463.72253517232,65458.8039400675,4.91859510482027,5.00663403376779,,,,65468.54,,
BTC-USD,65463.6,7.713e-05,2024-06-20 13:47:54.936984+00:00,BUY,65464.61,65469.66,65463.703683607346,65459.1592037662,4.5444798411481315,4.914203195243859,,,,65461.12,,
BTC-USD,65463.6,7.713e-05,2024-06-20 13:47:54.936984+00:00,BUY,65464.74,65469.66,65463.68773228314,65459.48815163537,4.199580647771654,4.771278685749419,65469.88,65444.56,,65463.6,,
BTC-USD,65464.06,5.96e-06,2024-06-20 13:47:58.679308+00:00,BUY,65467.66,65468.35,65463.74500423958,65459.82680706979,3.918197169790801,4.6006623825576956,65469.88,65452.12,,65463.6,,
BTC-USD,65471.19,0.07551046,2024-06-20 13:47:59.610798+00:00,SELL,65469.84,65473.78,65464.89038820272,65460.66852506462,4.221863138103799,4.524902533666917,65471.19,65455.82,,65464.06,,
BTC-USD,65466.53,3.174e-05,2024-06-20 13:48:01.127296+00:00,SELL,65466.52,65469.03,65465.142636171535,65461.10270839316,4.0399277783726575,4.427907582608065,65471.19,65459.01,,65471.19,,
BTC-USD,65470.0,0.001,2024-06-20 13:48:02.018027+00:00,SELL,65464.81,65469.39,65465.88992291438,65461.76176703071,4.128155883670843,4.367957242820621,65471.19,65459.12,,65466.53,,
