product_id,price,size,time,side,best_bid,best_ask,short_window,long_window,MACD,MACD_Signal
BTC-USD,65323.61,0.05959292,2024-06-20 13:38:45.281896+00:00,BUY,65327.69,65327.7,65323.61,65323.61,0.0,0.0
BTC-USD,65308.4,0.27267852,2024-06-20 13:39:45.844976+00:00,BUY,65314.92,65318.67,65321.270000000004,65322.48333333334,-1.2133333333331393,-0.24266666666662787
BTC-USD,65347.88,0.00579998,2024-06-20 13:40:47.011656+00:00,SELL,65352.11,65352.12,65325.36384615385,65324.36456790124,0.9992782526096562,0.00572231718862894
BTC-USD,65380.83,0.00196,2024-06-20 13:41:47.005329+00:00,SELL,65379.74,65380.83,65333.89710059172,65328.54719250115,5.349908090567624,1.074559471864428
BTC-USD,65418.12,9.016e-05,2024-06-20 13:42:47.628210+00:00,BUY,65417.9,65424.19,65346.85446973146,65335.182215278845,11.672254452612833,3.194098468014109
BTC-USD,65434.04,1.051e-05,2024-06-20 13:43:47.432190+00:00,SELL,65433.83,65433.84,65360.26762823431,65342.50501414708,17.76261408723076,6.107801591857439
BTC-USD,65377.55,0.02971411,2024-06-20 13:44:48.217209+00:00,SELL,65372.91,65377.56,65362.9264546598,65345.10093902507,17.825515634729527,8.451344400431857
BTC-USD,65364.68,0.00029984,2024-06-20 13:45:46.368767+00:00,SELL,65363.52,65364.4,65363.196230865986,65346.55123983803,16.644991027955257,10.090073725936538
BTC-USD,65444.92,1.558e-05,2024-06-20 13:46:48.421513+00:00,BUY,65444.93,65449.41,65375.769118425065,65353.83781466485,21.931303760218725,12.458319732792976
BTC-USD,65466.35,1.558e-05,2024-06-20 13:47:49.426627+00:00,BUY,65465.97,65468.63,65389.70463866736,65362.1720506156,27.532588051763014,15.473173396586985
BTC-USD,65469.56,3e-07,2024-06-20 13:48:49.852126+00:00,SELL,65467.33,65469.56,,,,
