product_id,price,size,time,side,best_bid,best_ask,short_window,long_window,MACD,MACD_Signal
BTC-USD,65393.18,0.00043942,2024-06-20 13:42:20.982159+00:00,BUY,65393.19,65400.02,65398.62076923077,65399.1337037037,-0.512934472928464,-0.1025868945856928
BTC-USD,65403.31,0.00898495,2024-06-20 13:42:22.389563+00:00,SELL,65395.86,65403.34,65399.34218934912,65399.44305898491,-0.10086963578942232,-0.10224344282643871
BTC-USD,65407.88,2.093e-05,2024-06-20 13:42:23.616894+00:00,SELL,65403.33,65407.88,65400.65569868002,65400.06801757862,0.5876811014022678,0.0357414660193026
BTC-USD,65404.98,0.00196221,2024-06-20 13:42:24.586746+00:00,BUY,65407.87,65407.88,65401.32097580617,65400.43186812835,0.8891076778236311,0.20641470838016832
BTC-USD,65403.89,1.559e-05,2024-06-20 13:42:26.392872+00:00,BUY,65403.89,65410.2,65401.71621029753,65400.688026044765,1.0281842527620029,0.37076861725653526
BTC-USD,65414.9,0.00026086,2024-06-20 13:42:27.408493+00:00,SELL,65407.18,65416.01,65403.74448563637,65401.740764856266,2.00372078010696,0.6973590498266202
BTC-USD,65417.12,0.00101825,2024-06-20 13:42:28.860715+00:00,SELL,65411.35,65418.09,65405.80225707693,65402.87996745951,2.922289617425122,1.1423451633463206
BTC-USD,65425.64,1.559e-05,2024-06-20 13:42:30.400035+00:00,BUY,65425.64,65431.6,65408.854217526634,65404.56589579584,4.288321730797179,1.7715404768364924
BTC-USD,65426.86,1.558e-05,2024-06-20 13:42:31.391055+00:00,BUY,65426.42,65432.43,65411.62433790715,65406.21731092207,5.407026985085395,2.4986377784862728
BTC-USD,65424.21,8.032e-05,2024-06-20 13:42:33.133543+00:00,BUY,65424.06,65429.68,65413.56059361374,65407.550102705616,6.0104909081273945,3.2010084044144973
BTC-USD,65437.09,0.00339325,2024-06-20 13:42:34.425029+00:00,BUY,65435.49,65437.68,65417.18050228855,65409.73824324594,7.442259042611113,4.049258532053821
BTC-USD,65429.15,0.00311738,2024-06-20 13:42:35.682739+00:00,SELL,65432.05,65432.06,65419.02196347493,65411.176151153646,7.845812321284029,4.808569289899863
BTC-USD,65435.83,0.0017219,2024-06-20 13:42:37.115402+00:00,SELL,65429.42,65435.64,65421.60781524802,65413.0023621793,8.605453068717907,5.567946045663472
BTC-USD,65413.07,0.02992019,2024-06-20 13:42:38.463712+00:00,BUY,65412.0,65418.67,65420.29430520986,65413.00737238824,7.286932821625669,5.9117434008559115
BTC-USD,65422.84,0.00029529,2024-06-20 13:42:39.783264+00:00,SELL,65418.75,65423.39,65420.68595056219,65413.73571517429,6.950235387899738,6.119441798264678
BTC-USD,65423.12,0.003,2024-06-20 13:42:40.513167+00:00,SELL,65418.87,65425.24,65421.06041970647,65414.430847383606,6.62957232286135,6.2214679031840125
BTC-USD,65411.93,0.0007916,2024-06-20 13:42:42.462341+00:00,BUY,65411.93,65416.09,65419.65573975163,65414.24559942927,5.410140322361258,6.059202387019462
BTC-USD,65415.91,1.525e-05,2024-06-20 13:42:43.407519+00:00,SELL,65411.94,65415.93,65419.07947209753,65414.36888836043,4.710583737098204,5.789478657035211
BTC-USD,65415.91,1.525e-05,2024-06-20 13:42:43.407519+00:00,SELL,65418.67,65425.1,65418.5918610056,65414.48304477818,4.108816227424541,5.453346171113077
BTC-USD,65415.91,1.525e-05,2024-06-20 13:42:43.407519+00:00,SELL,65415.72,65424.26,65418.17926700474,65414.58874516498,3.5905218397601857,5.080781304842499
BTC-USD,65418.12,9.016e-05,2024-06-20 13:42:47.628210+00:00,BUY,65418.12,65424.2,65418.170149004014,65414.85031959721,3.319829406806093,4.728590925235218
BTC-USD,65418.14,0.0201744,2024-06-20 13:42:49.150860+00:00,BUY,65418.13,65424.18,65418.165510695704,65415.093999627046,3.0715110686578555,4.3971749539197456
BTC-USD,65425.23,1.559e-05,2024-06-20 13:42:50.444913+00:00,BUY,65425.23,65425.24,65419.25235520406,65415.844814469485,3.4075407345735584,4.199248110050508
